タイムスタンプ,注文を割り振った車両番号を入力して下さい,注文は個人のお客さんと店舗のどちらでしたか?,個人からの注文だった場合、お客さんの性別はどちらでしたか?,このお客さんからの注文は何度目ですか?,お客さんの国籍はどちらでしたか?,注文を受けたのは業務開始から何時間以内ですか?,注文を受けた地域の周辺で何か事故や道路工事、年中行事などはありましたか? ,注文を受けた時間の忙しさはどの程度でしたか?,お客さんの印象はどうでしたか?,お客さんの酩酊度はどの程度でしたか?,乗車において店側、あるいはお客さん同士の乗車サポートがありましたか?,どんな車両でしたか?あてはまるものすべてにチェックして下さい。,あなたにとってこの注文の移動距離は最適でしたか?,注文を受けたお客さんは過去に問題を起こしていましたか?,今回生じたトラブル全てをチェックして下さい,このマッチングを評価して下さい,入力完了フラグ,,,,,
19:42:13,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
15:42:43,1号車,店舗注文,店舗,2回から4回目,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,あった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
21:24:53,2号車,店舗注文,店舗,5回以上,日本人,,なかった,ある程度忙しかった,,,,,,,,まぁまぁ良かった,not completed,,,,,
21:28:07,2号車,店舗注文,店舗,5回以上,,,なかった,ある程度忙しかった,,,,,注文を受けたかった距離よりも短く感じる,,,まぁまぁ良かった,not completed,,,,,
21:56:01,2号車,店舗注文,店舗,はじめて,,,なかった,ある程度忙しかった,,,,,注文を受けたかった距離よりも短く感じる,,,あまり良くなかった,not completed,,,,,
22:24:17,1号車,店舗注文,店舗,5回以上,日本人,,なかった,かなり忙しかった,,,,,ほぼ注文を受けたかった距離だった,,,まぁまぁ良かった,not completed,,,,,
23:21:40,3号車,個人注文,男性,5回以上,日本人,,なかった,かなり忙しかった,,,,,ほぼ注文を受けたかった距離だった,,,,not completed,,,,,
1:05:09,2号車,個人注文,男性,はじめて,日本人,,なかった,かなり忙しかった,良かった,,,,受けたかった注文の移動距離よりも長く感じる,,,,not completed,,,,,
1:29:42,1号車,店舗注文,,5回以上,日本人,,,かなり忙しかった,,,,,ほぼ注文を受けたかった距離だった,,,良かった,not completed,,,,,
1:30:39,2号車,個人注文,男性,はじめて,日本人,,,かなり忙しかった,まぁまぁ良かった,,,,受けたかった注文の移動距離よりも長く感じる,,,良かった,not completed,,,,,
1:31:27,3号車,個人注文,男性,はじめて,日本人,,なかった,かなり忙しかった,まぁまぁ良かった,,,,ほぼ注文を受けたかった距離だった,,,まぁまぁ良かった,not completed,,,,,
21:15:25,3号車,個人注文,女性,はじめて,日本人,,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていた,,まぁまぁ良かった,not completed,,,,,
21:52:14,3号車,店舗注文,店舗,5回以上,日本人,,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,,,まぁまぁ良かった,not completed,,,,,
22:38:47,3号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,,,まぁまぁ良かった,not completed,,,,,
22:46:15,2号車,店舗注文,店舗,5回以上,日本人,,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,,,まぁまぁ良かった,not completed,,,,,
22:54:23,3号車,個人注文,男性,はじめて,日本人,,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
23:09:05,2号車,店舗注文,店舗,5回以上,,,なかった,ある程度忙しかった,,,,,注文を受けたかった距離よりも短く感じる,,,あまり良くなかった,not completed,,,,,
23:38:48,3号車,個人注文,女性,はじめて,日本人,,なかった,ある程度忙しかった,,,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
23:57:58,2号車,個人注文,女性,はじめて,日本人,,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていた,,まぁまぁ良かった,not completed,,,,,
0:16:17,3号車,個人注文,女性,はじめて,日本人,,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
0:29:52,2号車,個人注文,男性,5回以上,日本人,,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
0:50:00,2号車,個人注文,女性,はじめて,日本人,,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,,not completed,,,,,
23:29:49,3号車,個人注文,男性,2回から4回目,日本人,,なかった,ある程度忙しかった,良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
0:35:22,3号車,個人注文,男性,はじめて,日本人,,なかった,かなり忙しかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
0:57:09,3号車,店舗注文,店舗,5回以上,日本人,,なかった,かなり忙しかった,,,,,注文を受けたかった距離よりも短く感じる,起こしていない,,あまり良くなかった,not completed,,,,,
21:21:39,3号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
21:21:40,3号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
21:57:06,3号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,,,,,起こしていない,,まぁまぁ良かった,not completed,,,,,
22:11:09,1号車,個人注文,男性,はじめて,日本人,2時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,なかった,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
22:34:26,3号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,なかった,,注文を受けたかった距離よりも短く感じる,起こしていない,,あまり良くなかった,not completed,,,,,
23:05:04,3号車,個人注文,男性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
23:25:01,1号車,個人注文,女性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,not completed,,,,,
23:28:24,3号車,個人注文,女性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
0:20:01,3号車,個人注文,男性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
0:34:17,1号車,個人注文,男性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
2:04:12,1号車,個人注文,女性,2回から4回目,日本人,6時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
3:35:19,3号車,個人注文,女性,はじめて,日本人,6時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
3:57:29,1号車,個人注文,女性,はじめて,日本人,4時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,あまり良くなかった,not completed,,,,,
1900/1/0,3号車,個人注文,女性,はじめて,日本人,6時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,not completed,,,,,
1900/1/0,3号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,起こしていない,,あまり良くなかった,not completed,,,,,
1900/1/0,3号車,店舗注文,店舗,5回以上,,,なかった,全く忙しくなかった,,,,,注文を受けたかった距離よりも短く感じる,,,まぁまぁ良かった,not completed,,,,,
1900/1/0,2号車,個人注文,女性,はじめて,日本人,,なかった,全く忙しくなかった,あまり良くなかった,,,,,,,まぁまぁ良かった,not completed,,,,,
1900/1/0,2号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,まぁまぁ良かった,,,,注文を受けたかった距離よりも短く感じる,,,まぁまぁ良かった,not completed,,,,,
1900/1/0,3号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
1900/1/0,2号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,,,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,not completed,,,,,
1900/1/0,3号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,,,,,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,not completed,,,,,
1900/1/0,3号車,個人注文,男性,はじめて,日本人,,なかった,全く忙しくなかった,良かった,問題なく会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,not completed,,,,,
1900/1/0,3号車,個人注文,男性,はじめて,日本人,4時間以内,なかった,全く忙しくなかった,良くなかった,少したどたどしいが、まだ会話ができる,,,注文を受けたかった距離よりも短く感じる,起こしていない,,全く良くなかった,not completed,,,,,
