タイムスタンプ,注文を割り振った車両番号を入力して下さい,注文は個人のお客さんと店舗のどちらでしたか?,個人からの注文だった場合、お客さんの性別はどちらでしたか?,このお客さんからの注文は何度目ですか?,お客さんの国籍はどちらでしたか?,注文を受けたのは業務開始から何時間以内ですか?,注文を受けた地域の周辺で何か事故や道路工事、年中行事などはありましたか? ,注文を受けた時間の忙しさはどの程度でしたか?,お客さんの印象はどうでしたか?,お客さんの酩酊度はどの程度でしたか?,乗車において店側、あるいはお客さん同士の乗車サポートがありましたか?,どんな車両でしたか?あてはまるものすべてにチェックして下さい。,あなたにとってこの注文の移動距離は最適でしたか?,注文を受けたお客さんは過去に問題を起こしていましたか?,今回生じたトラブル全てをチェックして下さい,このマッチングを評価して下さい,入力完了フラグ,,,,,
20:19:48,1号車,店舗注文,男性,はじめて,日本人,2時間以内,,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,あった,普通乗用車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
20:21:20,1号車,個人注文,男性,5回以上,日本人,2時間以内,,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
19:42:13,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
16:38:30,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
18:49:12,1号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
18:49:24,1号車,,,,,,,,,,,,,,,,not completed,,,,,
21:34:04,1号車,店舗注文,男性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,あった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
2:11:37,1号車,店舗注文,女性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
2:11:54,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
2:12:47,1号車,店舗注文,男性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,良かった,少したどたどしいが、まだ会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
7:42:31,1号車,店舗注文,女性,はじめて,日本人,2時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
8:47:14,1号車,個人注文,女性,2回から4回目,日本人,2時間以内,なかった,かなり忙しかった,良かった,かろうじて会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
8:49:09,1号車,店舗注文,男性,はじめて,日本人,4時間以内,あった,かなり忙しかった,良かった,少したどたどしいが、まだ会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
8:50:32,1号車,店舗注文,男性,はじめて,日本人,6時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,completed,,,,,
