タイムスタンプ,注文を割り振った車両番号を入力して下さい,注文は個人のお客さんと店舗のどちらでしたか?,個人からの注文だった場合、お客さんの性別はどちらでしたか?,このお客さんからの注文は何度目ですか?,お客さんの国籍はどちらでしたか?,注文を受けたのは業務開始から何時間以内ですか?,注文を受けた地域の周辺で何か事故や道路工事、年中行事などはありましたか? ,注文を受けた時間の忙しさはどの程度でしたか?,お客さんの印象はどうでしたか?,お客さんの酩酊度はどの程度でしたか?,乗車において店側、あるいはお客さん同士の乗車サポートがありましたか?,どんな車両でしたか?あてはまるものすべてにチェックして下さい。,あなたにとってこの注文の移動距離は最適でしたか?,注文を受けたお客さんは過去に問題を起こしていましたか?,今回生じたトラブル全てをチェックして下さい,このマッチングを評価して下さい,入力完了フラグ,,,,,
19:42:13,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
19:51:40,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
19:52:25,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
21:41:58,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
21:43:07,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
21:55:47,2号車,個人注文,男性,はじめて,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
22:05:20,1号車,店舗注文,男性,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
22:36:05,2号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
22:38:28,1号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
23:19:13,1号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,少したどたどしいが、まだ会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
23:20:16,2号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
23:37:59,2号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,ある程度忙しかった,良かった,少したどたどしいが、まだ会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
23:52:46,1号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
0:14:47,2号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,あった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
0:33:05,1号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
0:57:48,2号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
1:17:33,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1:18:37,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1:22:31,1号車,個人注文,男性,はじめて,日本人,6時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
1:55:07,1号車,個人注文,女性,はじめて,日本人,6時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
1:59:49,2号車,個人注文,女性,はじめて,日本人,6時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,あまり良くなかった,completed,,,,,
2:34:27,1号車,店舗注文,店舗,5回以上,日本人,6時間以内,なかった,全く忙しくなかった,良くなかった,少したどたどしいが、まだ会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,あまり良くなかった,completed,,,,,
3:17:24,2号車,個人注文,男性,5回以上,日本人,8時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
3:50:49,2号車,個人注文,女性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
3:51:43,1号車,個人注文,男性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,少したどたどしいが、まだ会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
4:44:48,1号車,個人注文,男性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
4:54:54,2号車,個人注文,男性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,良かった,かろうじて会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
5:22:04,2号車,店舗注文,店舗,5回以上,日本人,8時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
6:13:03,2号車,個人注文,女性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
6:32:15,1号車,個人注文,男性,はじめて,日本人,8時間以内,なかった,全く忙しくなかった,まぁまぁ良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
21:09:57,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
21:23:33,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
21:49:19,2号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
22:21:43,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
22:58:20,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
23:00:40,1号車,店舗注文,男性,はじめて,日本人,4時間以内,なかった,かなり忙しかった,まぁまぁ良かった,問題なく会話ができる,なかった,普通乗用車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,まぁまぁ良かった,completed,,,,,
23:03:13,2号車,店舗注文,男性,はじめて,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
23:04:38,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1900/1/0,2号車,店舗注文,男性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
1900/1/0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1900/1/0,1号車,店舗注文,男性,2回から4回目,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
1900/1/0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1900/1/0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
1900/1/0,2号車,店舗注文,女性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
1900/1/0,2号車,店舗注文,女性,はじめて,日本人,4時間以内,なかった,ある程度忙しかった,まぁまぁ良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
1900/1/0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
