タイムスタンプ,注文を割り振った車両番号を入力して下さい,注文は個人のお客さんと店舗のどちらでしたか?,個人からの注文だった場合、お客さんの性別はどちらでしたか?,このお客さんからの注文は何度目ですか?,お客さんの国籍はどちらでしたか?,注文を受けたのは業務開始から何時間以内ですか?,注文を受けた地域の周辺で何か事故や道路工事、年中行事などはありましたか? ,注文を受けた時間の忙しさはどの程度でしたか?,お客さんの印象はどうでしたか?,お客さんの酩酊度はどの程度でしたか?,乗車において店側、あるいはお客さん同士の乗車サポートがありましたか?,どんな車両でしたか?あてはまるものすべてにチェックして下さい。,あなたにとってこの注文の移動距離は最適でしたか?,注文を受けたお客さんは過去に問題を起こしていましたか?,今回生じたトラブル全てをチェックして下さい,このマッチングを評価して下さい,入力完了フラグ,,,,,
18:41:21,10号車,個人注文,男性,2回から4回目,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,"国産車, 普通乗用車",注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
19:46:37,1号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
19:47:51,10号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,"国産車, 普通乗用車",注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
19:49:07,8号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,"国産車, 普通乗用車",ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:15:44,8号車,個人注文,男性,はじめて,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,"国産車, 軽自動車",注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
20:34:08,10号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,"国産車, 軽自動車",注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
0:26:58,1号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
0:28:12,10号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,"外国車, 普通乗用車",ほぼ注文を受けたかった距離だった,,,良かった,completed,,,,,
4:45:39,1号車,店舗注文,店舗,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,completed,,,,,
4:47:13,8号車,個人注文,男性,5回以上,日本人,2時間以内,あった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
4:48:38,8号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
4:50:56,10号車,個人注文,男性,5回以上,日本人,4時間以内,あった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,まぁまぁ良かった,completed,,,,,
4:54:13,1号車,個人注文,男性,5回以上,,4時間以内,あった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
4:55:33,10号車,店舗注文,店舗,5回以上,日本人,4時間以内,あった,かなり忙しかった,良かった,問題なく会話ができる,なかった,"外国車, 普通乗用車",注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
4:57:16,1号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
4:58:38,8号車,個人注文,男性,5回以上,日本人,4時間以内,あった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
5:00:00,8号車,店舗注文,店舗,5回以上,日本人,8時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
5:01:20,8号車,個人注文,男性,2回から4回目,日本人,4時間以内,なかった,かなり忙しかった,良かった,,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,事故,良かった,completed,,,,,
5:04:04,1号車,店舗注文,男性,2回から4回目,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
5:05:56,10号車,個人注文,男性,2回から4回目,日本人,6時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,"外国車, 軽自動車",ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
19:01:30,2号車,個人注文,男性,はじめて,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
19:45:31,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,not completed,,,,,
19:48:11,3号車,店舗注文,店舗,2回から4回目,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
19:49:23,3号車,店舗注文,店舗,2回から4回目,日本人,2時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:09:01,10号車,個人注文,男性,5回以上,日本人,2時間以内,あった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:09:01,10号車,個人注文,男性,5回以上,日本人,2時間以内,あった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:09:52,3号車,個人注文,男性,5回以上,日本人,2時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:33:51,10号車,個人注文,男性,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
20:39:37,8号車,個人注文,男性,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,良かった,,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
21:00:08,3号車,個人注文,男性,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
21:00:08,3号車,個人注文,男性,5回以上,日本人,4時間以内,なかった,全く忙しくなかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
21:24:39,10号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,注文を受けたかった距離よりも短く感じる,起こしていない,,良かった,completed,,,,,
21:26:21,3号車,個人注文,男性,5回以上,日本人,4時間以内,なかった,ある程度忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,completed,,,,,
22:26:15,3号車,個人注文,男性,はじめて,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
22:56:08,10号車,店舗注文,店舗,5回以上,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
22:57:34,8号車,個人注文,男性,はじめて,日本人,4時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,completed,,,,,
23:25:09,10号車,個人注文,男性,5回以上,日本人,6時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,普通乗用車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
23:51:09,3号車,店舗注文,店舗,5回以上,日本人,6時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,受けたかった注文の移動距離よりも長く感じる,起こしていない,,良かった,completed,,,,,
0:14:22,8号車,個人注文,男性,はじめて,日本人,8時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
0:21:29,10号車,個人注文,男性,5回以上,日本人,6時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
2:16:00,3号車,店舗注文,店舗,5回以上,日本人,8時間以内,なかった,かなり忙しかった,良かった,問題なく会話ができる,なかった,軽自動車,ほぼ注文を受けたかった距離だった,起こしていない,,良かった,completed,,,,,
